# generated_utc	2026-08-14T18:47:54+00:00
# script	probe_v10.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	522
case_id	branch	seed_id	variant	carrier_id	carrier	leading_prefix	first	connector	second	construction	continuation_id	continuation	string	n_tok	tokens	token_ids	pre_second_body_tokens	second_realised_tokens	completion_pos	completion_token	raw_pre_second_541	raw_completion_541	raw_completion_increment	raw_completion_best_other	raw_completion_best_other_value	raw_completion_margin	peak_541	peakpos_541	peak_token_541	best_other	best_other_peak	signed_541_margin	dest	retained_541	winner_peak	reported_delta	target_peaks_at_completion	baseline_variant	notes	lexical_pair_id
ENDPOINT_CONTROL__EAST_WEST__REVERSED__THEY_SAID__NONE	ENDPOINT_CONTROL	EAST_WEST	REVERSED	THEY_SAID	they said 		west	and	east	west and east	NONE		they said west and east	5	["they", " said", " west", " and", " east"]	[9930, 531, 7421, 290, 7627]	4	1	5	 east	-0.037907	4.256135	4.294042	2659	4.229227	0.026908	4.256135	5	 east	2659	4.229227	0.026908	541	1	4.256135	0.026908	1	FULL_FRAME		
CONNECTOR_MATRIX__UP_DOWN__AND__BARE__NONE	CONNECTOR_MATRIX	UP_DOWN	AND	BARE			up	and	down	up and down	NONE		up and down	3	["up", " and", " down"]	[929, 290, 866]	2	1	3	 down	-0.056431	4.121797	4.178228	2659	2.999431	1.122366	4.121797	3	 down	2659	2.999431	1.122366	541	1	4.121797	1.122366	1	AND	canonical connector	
CONNECTOR_MATRIX__UP_DOWN__OR__BARE__NONE	CONNECTOR_MATRIX	UP_DOWN	OR	BARE			up	or	down	up or down	NONE		up or down	3	["up", " or", " down"]	[929, 393, 866]	2	1	3	 down	-0.033345	3.869458	3.902803	2659	3.376154	0.493304	3.869458	3	 down	2659	3.376154	0.493304	541	1	3.869458	0.493304	1	AND	connector substitution	
CONNECTOR_MATRIX__UP_DOWN__TO__BARE__NONE	CONNECTOR_MATRIX	UP_DOWN	TO	BARE			up	to	down	up to down	NONE		up to down	3	["up", " to", " down"]	[929, 284, 866]	2	1	3	 down	-0.12449	1.744578	1.869067	1790	1.898058	-0.15348	1.744578	3	 down	62	2.944808	-1.200231	62	0	2.944808	0.091754	1	AND	connector substitution	
CONNECTOR_MATRIX__UP_DOWN__BY__BARE__NONE	CONNECTOR_MATRIX	UP_DOWN	BY	BARE			up	by	down	up by down	NONE		up by down	3	["up", " by", " down"]	[929, 416, 866]	2	1	3	 down	-0.128674	1.826102	1.954776	971	3.00791	-1.181808	1.826102	3	 down	971	3.00791	-1.181808	971	0	3.00791	0.154856	1	AND	connector substitution	
CONNECTOR_MATRIX__UP_DOWN__AFTER__BARE__NONE	CONNECTOR_MATRIX	UP_DOWN	AFTER	BARE			up	after	down	up after down	NONE		up after down	3	["up", " after", " down"]	[929, 706, 866]	2	1	3	 down	-0.156183	0.918372	1.074555	1790	1.878819	-0.960446	0.918372	3	 down	1790	2.853054	-1.934682	1790	0	2.853054	0.085895	1	AND	connector substitution	
CONNECTOR_MATRIX__UP_DOWN__AND__V9_SPACE__NONE	CONNECTOR_MATRIX	UP_DOWN	AND	V9_SPACE		 	up	and	down	up and down	NONE		 up and down	3	[" up", " and", " down"]	[510, 290, 866]	2	1	3	 down	-0.028836	4.184617	4.213452	2659	2.81232	1.372297	4.184617	3	 down	1790	3.028114	1.156503	541	1	4.184617	1.156503	1	AND	canonical connector	
CONNECTOR_MATRIX__UP_DOWN__OR__V9_SPACE__NONE	CONNECTOR_MATRIX	UP_DOWN	OR	V9_SPACE		 	up	or	down	up or down	NONE		 up or down	3	[" up", " or", " down"]	[510, 393, 866]	2	1	3	 down	-0.005372	3.857389	3.862761	2659	3.155047	0.702341	3.857389	3	 down	2659	3.155047	0.702341	541	1	3.857389	0.702341	1	AND	connector substitution	
CONNECTOR_MATRIX__UP_DOWN__TO__V9_SPACE__NONE	CONNECTOR_MATRIX	UP_DOWN	TO	V9_SPACE		 	up	to	down	up to down	NONE		 up to down	3	[" up", " to", " down"]	[510, 284, 866]	2	1	3	 down	-0.075784	2.501031	2.576815	1790	2.053544	0.447487	2.501031	3	 down	1790	3.028114	-0.527083	1790	0	3.028114	0.054771	1	AND	connector substitution	
CONNECTOR_MATRIX__UP_DOWN__BY__V9_SPACE__NONE	CONNECTOR_MATRIX	UP_DOWN	BY	V9_SPACE		 	up	by	down	up by down	NONE		 up by down	3	[" up", " by", " down"]	[510, 416, 866]	2	1	3	 down	-0.124107	2.908916	3.033023	971	3.105244	-0.196328	2.908916	3	 down	971	3.105244	-0.196328	971	0	3.105244	0.077131	1	AND	connector substitution	
CONNECTOR_MATRIX__UP_DOWN__AFTER__V9_SPACE__NONE	CONNECTOR_MATRIX	UP_DOWN	AFTER	V9_SPACE		 	up	after	down	up after down	NONE		 up after down	3	[" up", " after", " down"]	[510, 706, 866]	2	1	3	 down	-0.135689	1.24756	1.383249	1790	2.013506	-0.765946	1.24756	3	 down	1790	3.028114	-1.780554	1790	0	3.028114	0.054771	1	AND	connector substitution	
CONNECTOR_MATRIX__UP_DOWN__AND__THE_PHRASE__NONE	CONNECTOR_MATRIX	UP_DOWN	AND	THE_PHRASE	the phrase 		up	and	down	up and down	NONE		the phrase up and down	5	["the", " phrase", " up", " and", " down"]	[1169, 9546, 510, 290, 866]	4	1	5	 down	-0.027487	4.404454	4.43194	2659	3.312273	1.092181	4.404454	5	 down	2659	3.312273	1.092181	541	1	4.404454	1.092181	1	AND	canonical connector	
CONNECTOR_MATRIX__UP_DOWN__OR__THE_PHRASE__NONE	CONNECTOR_MATRIX	UP_DOWN	OR	THE_PHRASE	the phrase 		up	or	down	up or down	NONE		the phrase up or down	5	["the", " phrase", " up", " or", " down"]	[1169, 9546, 510, 393, 866]	4	1	5	 down	-0.002803	4.516512	4.519316	2659	4.213447	0.303065	4.516512	5	 down	2659	4.213447	0.303065	541	1	4.516512	0.303065	1	AND	connector substitution	
CONNECTOR_MATRIX__UP_DOWN__TO__THE_PHRASE__NONE	CONNECTOR_MATRIX	UP_DOWN	TO	THE_PHRASE	the phrase 		up	to	down	up to down	NONE		the phrase up to down	5	["the", " phrase", " up", " to", " down"]	[1169, 9546, 510, 284, 866]	4	1	5	 down	-0.057803	3.049048	3.106851	1790	1.914479	1.13457	3.049048	5	 down	2073	3.233148	-0.1841	2073	0	3.233148	0.1841	1	AND	connector substitution	
CONNECTOR_MATRIX__UP_DOWN__BY__THE_PHRASE__NONE	CONNECTOR_MATRIX	UP_DOWN	BY	THE_PHRASE	the phrase 		up	by	down	up by down	NONE		the phrase up by down	5	["the", " phrase", " up", " by", " down"]	[1169, 9546, 510, 416, 866]	4	1	5	 down	-0.061245	1.685715	1.746959	971	2.289897	-0.604183	1.685715	5	 down	2073	3.233148	-1.547434	2073	0	3.233148	0.489397	1	AND	connector substitution	
CONNECTOR_MATRIX__UP_DOWN__AFTER__THE_PHRASE__NONE	CONNECTOR_MATRIX	UP_DOWN	AFTER	THE_PHRASE	the phrase 		up	after	down	up after down	NONE		the phrase up after down	5	["the", " phrase", " up", " after", " down"]	[1169, 9546, 510, 706, 866]	4	1	5	 down	-0.090785	0.528342	0.619128	1790	2.224189	-1.695846	0.528342	5	 down	2073	3.233148	-2.704806	2073	0	3.233148	0.489397	1	AND	connector substitution	
CONNECTOR_MATRIX__UP_DOWN__AND__THEY_SAID__NONE	CONNECTOR_MATRIX	UP_DOWN	AND	THEY_SAID	they said 		up	and	down	up and down	NONE		they said up and down	5	["they", " said", " up", " and", " down"]	[9930, 531, 510, 290, 866]	4	1	5	 down	-0.03435	4.28348	4.317829	2659	2.988349	1.295131	4.28348	5	 down	2659	2.988349	1.295131	541	1	4.28348	1.295131	1	AND	canonical connector	
CONNECTOR_MATRIX__UP_DOWN__OR__THEY_SAID__NONE	CONNECTOR_MATRIX	UP_DOWN	OR	THEY_SAID	they said 		up	or	down	up or down	NONE		they said up or down	5	["they", " said", " up", " or", " down"]	[9930, 531, 510, 393, 866]	4	1	5	 down	-0.002334	4.219295	4.221629	2659	3.567698	0.651597	4.219295	5	 down	2659	3.567698	0.651597	541	1	4.219295	0.651597	1	AND	connector substitution	
CONNECTOR_MATRIX__UP_DOWN__TO__THEY_SAID__NONE	CONNECTOR_MATRIX	UP_DOWN	TO	THEY_SAID	they said 		up	to	down	up to down	NONE		they said up to down	5	["they", " said", " up", " to", " down"]	[9930, 531, 510, 284, 866]	4	1	5	 down	-0.06741	2.929415	2.996826	1790	1.845343	1.084072	2.929415	5	 down	62	2.537631	0.391784	541	1	2.929415	0.391784	1	AND	connector substitution	
CONNECTOR_MATRIX__UP_DOWN__BY__THEY_SAID__NONE	CONNECTOR_MATRIX	UP_DOWN	BY	THEY_SAID	they said 		up	by	down	up by down	NONE		they said up by down	5	["they", " said", " up", " by", " down"]	[9930, 531, 510, 416, 866]	4	1	5	 down	-0.088785	1.886899	1.975684	971	2.395483	-0.508584	1.886899	5	 down	971	2.395483	-0.508584	971	0	2.395483	0.034613	1	AND	connector substitution	
CONNECTOR_MATRIX__UP_DOWN__AFTER__THEY_SAID__NONE	CONNECTOR_MATRIX	UP_DOWN	AFTER	THEY_SAID	they said 		up	after	down	up after down	NONE		they said up after down	5	["they", " said", " up", " after", " down"]	[9930, 531, 510, 706, 866]	4	1	5	 down	-0.119948	1.22033	1.340277	1790	2.030502	-0.810172	1.22033	5	 down	2256	2.36087	-1.14054	2256	0	2.36087	0.053377	1	AND	connector substitution	
CONNECTOR_MATRIX__NOW_THEN__AND__BARE__NONE	CONNECTOR_MATRIX	NOW_THEN	AND	BARE			now	and	then	now and then	NONE		now and then	3	["now", " and", " then"]	[2197, 290, 788]	2	1	3	 then	-0.01108	3.322905	3.333985	2753	2.422944	0.899961	3.322905	3	 then	1888	2.696291	0.626614	541	1	3.322905	0.626614	1	AND	canonical connector	
CONNECTOR_MATRIX__NOW_THEN__OR__BARE__NONE	CONNECTOR_MATRIX	NOW_THEN	OR	BARE			now	or	then	now or then	NONE		now or then	3	["now", " or", " then"]	[2197, 393, 788]	2	1	3	 then	-0.00122	3.904897	3.906117	512	2.75065	1.154247	3.904897	3	 then	512	2.75065	1.154247	541	1	3.904897	1.154247	1	AND	connector substitution	
CONNECTOR_MATRIX__NOW_THEN__TO__BARE__NONE	CONNECTOR_MATRIX	NOW_THEN	TO	BARE			now	to	then	now to then	NONE		now to then	3	["now", " to", " then"]	[2197, 284, 788]	2	1	3	 then	-0.018444	1.92845	1.946894	711	2.636454	-0.708003	1.92845	3	 then	1888	2.696291	-0.767841	1888	0	2.696291	0.059837	1	AND	connector substitution	
CONNECTOR_MATRIX__NOW_THEN__BY__BARE__NONE	CONNECTOR_MATRIX	NOW_THEN	BY	BARE			now	by	then	now by then	NONE		now by then	3	["now", " by", " then"]	[2197, 416, 788]	2	1	3	 then	-0.086716	2.186624	2.273341	1997	3.452386	-1.265761	2.186624	3	 then	1997	3.452386	-1.265761	1997	0	3.452386	0.756095	1	AND	connector substitution	
CONNECTOR_MATRIX__NOW_THEN__AFTER__BARE__NONE	CONNECTOR_MATRIX	NOW_THEN	AFTER	BARE			now	after	then	now after then	NONE		now after then	3	["now", " after", " then"]	[2197, 706, 788]	2	1	3	 then	-0.104103	1.616335	1.720438	1790	2.070239	-0.453904	1.616335	3	 then	1888	2.696291	-1.079956	1888	0	2.696291	0.274908	1	AND	connector substitution	
CONNECTOR_MATRIX__NOW_THEN__AND__V9_SPACE__NONE	CONNECTOR_MATRIX	NOW_THEN	AND	V9_SPACE		 	now	and	then	now and then	NONE		 now and then	3	[" now", " and", " then"]	[783, 290, 788]	2	1	3	 then	-0.004342	3.729735	3.734077	2753	2.298114	1.431621	3.729735	3	 then	1888	3.160015	0.56972	541	1	3.729735	0.56972	1	AND	canonical connector	
CONNECTOR_MATRIX__NOW_THEN__OR__V9_SPACE__NONE	CONNECTOR_MATRIX	NOW_THEN	OR	V9_SPACE		 	now	or	then	now or then	NONE		 now or then	3	[" now", " or", " then"]	[783, 393, 788]	2	1	3	 then	-0.000188	4.508269	4.508456	512	2.647732	1.860537	4.508269	3	 then	1888	3.160015	1.348254	541	1	4.508269	1.348254	1	AND	connector substitution	
CONNECTOR_MATRIX__NOW_THEN__TO__V9_SPACE__NONE	CONNECTOR_MATRIX	NOW_THEN	TO	V9_SPACE		 	now	to	then	now to then	NONE		 now to then	3	[" now", " to", " then"]	[783, 284, 788]	2	1	3	 then	-0.017428	1.90732	1.924748	711	2.518846	-0.611527	1.90732	3	 then	1888	3.160015	-1.252695	1888	0	3.160015	0.513781	1	AND	connector substitution	
CONNECTOR_MATRIX__NOW_THEN__BY__V9_SPACE__NONE	CONNECTOR_MATRIX	NOW_THEN	BY	V9_SPACE		 	now	by	then	now by then	NONE		 now by then	3	[" now", " by", " then"]	[783, 416, 788]	2	1	3	 then	-0.087121	2.350339	2.437459	1997	3.54099	-1.190652	2.350339	3	 then	1997	3.54099	-1.190652	1997	0	3.54099	0.380975	1	AND	connector substitution	
CONNECTOR_MATRIX__NOW_THEN__AFTER__V9_SPACE__NONE	CONNECTOR_MATRIX	NOW_THEN	AFTER	V9_SPACE		 	now	after	then	now after then	NONE		 now after then	3	[" now", " after", " then"]	[783, 706, 788]	2	1	3	 then	-0.091071	1.870759	1.96183	1790	2.091711	-0.220953	1.870759	3	 then	1888	3.160015	-1.289257	1888	0	3.160015	0.513781	1	AND	connector substitution	
CONNECTOR_MATRIX__NOW_THEN__AND__THE_PHRASE__NONE	CONNECTOR_MATRIX	NOW_THEN	AND	THE_PHRASE	the phrase 		now	and	then	now and then	NONE		the phrase now and then	5	["the", " phrase", " now", " and", " then"]	[1169, 9546, 783, 290, 788]	4	1	5	 then	-0.010343	4.17143	4.181773	2753	2.295523	1.875907	4.17143	5	 then	2073	3.233148	0.938282	541	1	4.17143	0.938282	1	AND	canonical connector	
CONNECTOR_MATRIX__NOW_THEN__OR__THE_PHRASE__NONE	CONNECTOR_MATRIX	NOW_THEN	OR	THE_PHRASE	the phrase 		now	or	then	now or then	NONE		the phrase now or then	5	["the", " phrase", " now", " or", " then"]	[1169, 9546, 783, 393, 788]	4	1	5	 then	-0.000728	4.816611	4.817339	2659	2.636952	2.179659	4.816611	5	 then	2073	3.233148	1.583462	541	1	4.816611	1.583462	1	AND	connector substitution	
CONNECTOR_MATRIX__NOW_THEN__TO__THE_PHRASE__NONE	CONNECTOR_MATRIX	NOW_THEN	TO	THE_PHRASE	the phrase 		now	to	then	now to then	NONE		the phrase now to then	5	["the", " phrase", " now", " to", " then"]	[1169, 9546, 783, 284, 788]	4	1	5	 then	-0.009273	2.469789	2.479062	711	2.150709	0.31908	2.469789	5	 then	2073	3.233148	-0.763359	2073	0	3.233148	0.489397	1	AND	connector substitution	
CONNECTOR_MATRIX__NOW_THEN__BY__THE_PHRASE__NONE	CONNECTOR_MATRIX	NOW_THEN	BY	THE_PHRASE	the phrase 		now	by	then	now by then	NONE		the phrase now by then	5	["the", " phrase", " now", " by", " then"]	[1169, 9546, 783, 416, 788]	4	1	5	 then	-0.05593	2.17338	2.22931	1997	3.414285	-1.240905	2.17338	5	 then	1997	3.414285	-1.240905	1997	0	3.414285	0.181137	1	AND	connector substitution	
CONNECTOR_MATRIX__NOW_THEN__AFTER__THE_PHRASE__NONE	CONNECTOR_MATRIX	NOW_THEN	AFTER	THE_PHRASE	the phrase 		now	after	then	now after then	NONE		the phrase now after then	5	["the", " phrase", " now", " after", " then"]	[1169, 9546, 783, 706, 788]	4	1	5	 then	-0.057587	1.28834	1.345927	1790	2.270699	-0.982359	1.28834	5	 then	2073	3.233148	-1.944808	2073	0	3.233148	0.489397	1	AND	connector substitution	
CONNECTOR_MATRIX__NOW_THEN__AND__THEY_SAID__NONE	CONNECTOR_MATRIX	NOW_THEN	AND	THEY_SAID	they said 		now	and	then	now and then	NONE		they said now and then	5	["they", " said", " now", " and", " then"]	[9930, 531, 783, 290, 788]	4	1	5	 then	-0.018547	3.79453	3.813077	2753	2.46133	1.3332	3.79453	5	 then	1790	2.524054	1.270476	541	1	3.79453	1.270476	1	AND	canonical connector	
CONNECTOR_MATRIX__NOW_THEN__OR__THEY_SAID__NONE	CONNECTOR_MATRIX	NOW_THEN	OR	THEY_SAID	they said 		now	or	then	now or then	NONE		they said now or then	5	["they", " said", " now", " or", " then"]	[9930, 531, 783, 393, 788]	4	1	5	 then	-5.9e-05	5.079131	5.079189	2659	2.80687	2.27226	5.079131	5	 then	2659	2.80687	2.27226	541	1	5.079131	2.27226	1	AND	connector substitution	
CONNECTOR_MATRIX__NOW_THEN__TO__THEY_SAID__NONE	CONNECTOR_MATRIX	NOW_THEN	TO	THEY_SAID	they said 		now	to	then	now to then	NONE		they said now to then	5	["they", " said", " now", " to", " then"]	[9930, 531, 783, 284, 788]	4	1	5	 then	-0.03433	1.967003	2.001332	711	2.372952	-0.40595	1.967003	5	 then	711	2.372952	-0.40595	711	0	2.372952	0.012082	1	AND	connector substitution	
CONNECTOR_MATRIX__NOW_THEN__BY__THEY_SAID__NONE	CONNECTOR_MATRIX	NOW_THEN	BY	THEY_SAID	they said 		now	by	then	now by then	NONE		they said now by then	5	["they", " said", " now", " by", " then"]	[9930, 531, 783, 416, 788]	4	1	5	 then	-0.04229	1.344919	1.387209	1997	3.356233	-2.011314	1.344919	5	 then	1997	3.356233	-2.011314	1997	0	3.356233	0.995363	1	AND	connector substitution	
CONNECTOR_MATRIX__NOW_THEN__AFTER__THEY_SAID__NONE	CONNECTOR_MATRIX	NOW_THEN	AFTER	THEY_SAID	they said 		now	after	then	now after then	NONE		they said now after then	5	["they", " said", " now", " after", " then"]	[9930, 531, 783, 706, 788]	4	1	5	 then	-0.042805	1.273725	1.31653	1790	2.165186	-0.891461	1.273725	5	 then	2256	2.36087	-1.087145	2256	0	2.36087	0.053377	1	AND	connector substitution	
CONNECTOR_MATRIX__HERE_THERE__AND__BARE__NONE	CONNECTOR_MATRIX	HERE_THERE	AND	BARE			here	and	there	here and there	NONE		here and there	3	["here", " and", " there"]	[1456, 290, 612]	2	1	3	 there	-0.016764	4.181681	4.198445	2753	2.63077	1.55091	4.181681	3	 there	2753	2.63077	1.55091	541	1	4.181681	1.55091	1	AND	canonical connector	
CONNECTOR_MATRIX__HERE_THERE__OR__BARE__NONE	CONNECTOR_MATRIX	HERE_THERE	OR	BARE			here	or	there	here or there	NONE		here or there	3	["here", " or", " there"]	[1456, 393, 612]	2	1	3	 there	-0.001947	4.166245	4.168193	2659	3.201386	0.96486	4.166245	3	 there	2659	3.201386	0.96486	541	1	4.166245	0.96486	1	AND	connector substitution	
CONNECTOR_MATRIX__HERE_THERE__TO__BARE__NONE	CONNECTOR_MATRIX	HERE_THERE	TO	BARE			here	to	there	here to there	NONE		here to there	3	["here", " to", " there"]	[1456, 284, 612]	2	1	3	 there	-0.023422	0.991404	1.014826	429	2.462448	-1.471044	0.991404	3	 there	3017	2.584539	-1.593136	3017	0	2.584539	0.122091	1	AND	connector substitution	
CONNECTOR_MATRIX__HERE_THERE__BY__BARE__NONE	CONNECTOR_MATRIX	HERE_THERE	BY	BARE			here	by	there	here by there	NONE		here by there	3	["here", " by", " there"]	[1456, 416, 612]	2	1	3	 there	-0.124018	2.040191	2.164209	971	2.826093	-0.785902	2.040191	3	 there	971	2.826093	-0.785902	971	0	2.826093	0.241554	1	AND	connector substitution	
CONNECTOR_MATRIX__HERE_THERE__AFTER__BARE__NONE	CONNECTOR_MATRIX	HERE_THERE	AFTER	BARE			here	after	there	here after there	NONE		here after there	3	["here", " after", " there"]	[1456, 706, 612]	2	1	3	 there	-0.081684	0.25601	0.337693	170	2.6853	-2.42929	0.25601	3	 there	170	2.6853	-2.42929	170	0	2.6853	0.10076	1	AND	connector substitution	
CONNECTOR_MATRIX__HERE_THERE__AND__V9_SPACE__NONE	CONNECTOR_MATRIX	HERE_THERE	AND	V9_SPACE		 	here	and	there	here and there	NONE		 here and there	3	[" here", " and", " there"]	[994, 290, 612]	2	1	3	 there	-0.012329	3.824308	3.836637	2753	2.616261	1.208047	3.824308	3	 there	464	2.896075	0.928233	541	1	3.824308	0.928233	1	AND	canonical connector	
CONNECTOR_MATRIX__HERE_THERE__OR__V9_SPACE__NONE	CONNECTOR_MATRIX	HERE_THERE	OR	V9_SPACE		 	here	or	there	here or there	NONE		 here or there	3	[" here", " or", " there"]	[994, 393, 612]	2	1	3	 there	-0.000473	3.40923	3.409703	2363	2.626797	0.782434	3.40923	3	 there	464	2.896075	0.513155	541	1	3.40923	0.513155	1	AND	connector substitution	
CONNECTOR_MATRIX__HERE_THERE__TO__V9_SPACE__NONE	CONNECTOR_MATRIX	HERE_THERE	TO	V9_SPACE		 	here	to	there	here to there	NONE		 here to there	3	[" here", " to", " there"]	[994, 284, 612]	2	1	3	 there	-0.026009	0.844573	0.870583	107	2.362145	-1.517572	0.844573	3	 there	464	2.896075	-2.051502	464	0	2.896075	0.181245	1	AND	connector substitution	
CONNECTOR_MATRIX__HERE_THERE__BY__V9_SPACE__NONE	CONNECTOR_MATRIX	HERE_THERE	BY	V9_SPACE		 	here	by	there	here by there	NONE		 here by there	3	[" here", " by", " there"]	[994, 416, 612]	2	1	3	 there	-0.100291	1.140597	1.240889	971	2.935421	-1.794824	1.140597	3	 there	971	2.935421	-1.794824	971	0	2.935421	0.039346	1	AND	connector substitution	
CONNECTOR_MATRIX__HERE_THERE__AFTER__V9_SPACE__NONE	CONNECTOR_MATRIX	HERE_THERE	AFTER	V9_SPACE		 	here	after	there	here after there	NONE		 here after there	3	[" here", " after", " there"]	[994, 706, 612]	2	1	3	 there	-0.115225	0.701769	0.816994	170	2.564203	-1.862434	0.701769	3	 there	464	2.896075	-2.194306	464	0	2.896075	0.181245	1	AND	connector substitution	
CONNECTOR_MATRIX__HERE_THERE__AND__THE_PHRASE__NONE	CONNECTOR_MATRIX	HERE_THERE	AND	THE_PHRASE	the phrase 		here	and	there	here and there	NONE		the phrase here and there	5	["the", " phrase", " here", " and", " there"]	[1169, 9546, 994, 290, 612]	4	1	5	 there	-0.004793	4.150405	4.155198	2753	2.69537	1.455035	4.150405	5	 there	2073	3.233148	0.917257	541	1	4.150405	0.917257	1	AND	canonical connector	
CONNECTOR_MATRIX__HERE_THERE__OR__THE_PHRASE__NONE	CONNECTOR_MATRIX	HERE_THERE	OR	THE_PHRASE	the phrase 		here	or	there	here or there	NONE		the phrase here or there	5	["the", " phrase", " here", " or", " there"]	[1169, 9546, 994, 393, 612]	4	1	5	 there	-0.000398	3.525942	3.526339	2659	2.508085	1.017857	3.525942	5	 there	2073	3.233148	0.292793	541	1	3.525942	0.292793	1	AND	connector substitution	
CONNECTOR_MATRIX__HERE_THERE__TO__THE_PHRASE__NONE	CONNECTOR_MATRIX	HERE_THERE	TO	THE_PHRASE	the phrase 		here	to	there	here to there	NONE		the phrase here to there	5	["the", " phrase", " here", " to", " there"]	[1169, 9546, 994, 284, 612]	4	1	5	 there	-0.006242	0.91574	0.921981	107	2.150581	-1.234841	0.91574	5	 there	2073	3.233148	-2.317409	2073	0	3.233148	0.489397	1	AND	connector substitution	
CONNECTOR_MATRIX__HERE_THERE__BY__THE_PHRASE__NONE	CONNECTOR_MATRIX	HERE_THERE	BY	THE_PHRASE	the phrase 		here	by	there	here by there	NONE		the phrase here by there	5	["the", " phrase", " here", " by", " there"]	[1169, 9546, 994, 416, 612]	4	1	5	 there	-0.023151	0.420294	0.443444	971	2.552595	-2.132302	0.420294	5	 there	2073	3.233148	-2.812855	2073	0	3.233148	0.489397	1	AND	connector substitution	
CONNECTOR_MATRIX__HERE_THERE__AFTER__THE_PHRASE__NONE	CONNECTOR_MATRIX	HERE_THERE	AFTER	THE_PHRASE	the phrase 		here	after	there	here after there	NONE		the phrase here after there	5	["the", " phrase", " here", " after", " there"]	[1169, 9546, 994, 706, 612]	4	1	5	 there	-0.02846	-0.022834	0.005626	170	2.575281	-2.598116	-0.000102	0	<BOS>	2073	3.233148	-3.23325	2073	0	3.233148	0.489397	0	AND	connector substitution	
CONNECTOR_MATRIX__HERE_THERE__AND__THEY_SAID__NONE	CONNECTOR_MATRIX	HERE_THERE	AND	THEY_SAID	they said 		here	and	there	here and there	NONE		they said here and there	5	["they", " said", " here", " and", " there"]	[9930, 531, 994, 290, 612]	4	1	5	 there	-0.015843	4.241708	4.25755	2753	2.92857	1.313138	4.241708	5	 there	2753	2.92857	1.313138	541	1	4.241708	1.313138	1	AND	canonical connector	
CONNECTOR_MATRIX__HERE_THERE__OR__THEY_SAID__NONE	CONNECTOR_MATRIX	HERE_THERE	OR	THEY_SAID	they said 		here	or	there	here or there	NONE		they said here or there	5	["they", " said", " here", " or", " there"]	[9930, 531, 994, 393, 612]	4	1	5	 there	-5.4e-05	4.075894	4.075949	2659	3.063319	1.012575	4.075894	5	 there	2659	3.063319	1.012575	541	1	4.075894	1.012575	1	AND	connector substitution	
CONNECTOR_MATRIX__HERE_THERE__TO__THEY_SAID__NONE	CONNECTOR_MATRIX	HERE_THERE	TO	THEY_SAID	they said 		here	to	there	here to there	NONE		they said here to there	5	["they", " said", " here", " to", " there"]	[9930, 531, 994, 284, 612]	4	1	5	 there	-0.020449	1.572683	1.593132	1790	2.123492	-0.550809	1.572683	5	 there	2256	2.36087	-0.788187	2256	0	2.36087	0.053377	1	AND	connector substitution	
CONNECTOR_MATRIX__HERE_THERE__BY__THEY_SAID__NONE	CONNECTOR_MATRIX	HERE_THERE	BY	THEY_SAID	they said 		here	by	there	here by there	NONE		they said here by there	5	["they", " said", " here", " by", " there"]	[9930, 531, 994, 416, 612]	4	1	5	 there	-0.037925	1.046495	1.08442	1186	2.065493	-1.018998	1.046495	5	 there	2256	2.36087	-1.314375	2256	0	2.36087	0.053377	1	AND	connector substitution	
CONNECTOR_MATRIX__HERE_THERE__AFTER__THEY_SAID__NONE	CONNECTOR_MATRIX	HERE_THERE	AFTER	THEY_SAID	they said 		here	after	there	here after there	NONE		they said here after there	5	["they", " said", " here", " after", " there"]	[9930, 531, 994, 706, 612]	4	1	5	 there	-0.024634	0.445558	0.470191	170	2.607736	-2.162179	0.445558	5	 there	170	2.607736	-2.162179	170	0	2.607736	0.246866	1	AND	connector substitution	
CONNECTOR_MATRIX__RIGHT_LEFT__AND__BARE__NONE	CONNECTOR_MATRIX	RIGHT_LEFT	AND	BARE			right	and	left	right and left	NONE		right and left	3	["right", " and", " left"]	[3506, 290, 1364]	2	1	3	 left	-0.033633	3.454199	3.487832	2659	3.142589	0.31161	3.454199	3	 left	2659	3.142589	0.31161	541	1	3.454199	0.31161	1	AND	canonical connector	
CONNECTOR_MATRIX__RIGHT_LEFT__OR__BARE__NONE	CONNECTOR_MATRIX	RIGHT_LEFT	OR	BARE			right	or	left	right or left	NONE		right or left	3	["right", " or", " left"]	[3506, 393, 1364]	2	1	3	 left	-0.011045	4.176278	4.187322	2659	3.832575	0.343703	4.176278	3	 left	2659	3.832575	0.343703	541	1	4.176278	0.343703	1	AND	connector substitution	
CONNECTOR_MATRIX__RIGHT_LEFT__TO__BARE__NONE	CONNECTOR_MATRIX	RIGHT_LEFT	TO	BARE			right	to	left	right to left	NONE		right to left	3	["right", " to", " left"]	[3506, 284, 1364]	2	1	3	 left	-0.045445	2.638869	2.684314	429	2.870597	-0.231729	2.638869	3	 left	429	2.870597	-0.231729	429	0	2.870597	0.035432	1	AND	connector substitution	
