# generated_utc	2026-08-14T18:47:54+00:00
# script	probe_v10.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	794
comparison_id	comparison_type	branch	seed_id	carrier_id	baseline_variant	variant	baseline_case_id	case_id	baseline_string	string	strict_token_position_match	baseline_pre_second_body_tokens	pre_second_body_tokens	baseline_second_realised_tokens	second_realised_tokens	raw_completion_541_change	raw_completion_increment_change	peak_541_change	signed_541_margin_change	baseline_dest	dest	baseline_retained_541	retained_541	retention_changed	completion_token_match	second_token_count_match
CORE_FACTORIAL__UP_DOWN__AA__BARE__NONE__TO__THE_PHRASE	CARRIER_VS_BARE	CORE_FACTORIAL	UP_DOWN	THE_PHRASE	BARE	THE_PHRASE	CORE_FACTORIAL__UP_DOWN__AA__BARE__NONE	CORE_FACTORIAL__UP_DOWN__AA__THE_PHRASE__NONE	gravel and window	the phrase gravel and window	0	3	4	1	1	-0.145068	-0.150709	-0.145068	-0.435442	1888	2073	0	0	0	1	1
CORE_FACTORIAL__UP_DOWN__AA__BARE__NONE__TO__THEY_SAID	CARRIER_VS_BARE	CORE_FACTORIAL	UP_DOWN	THEY_SAID	BARE	THEY_SAID	CORE_FACTORIAL__UP_DOWN__AA__BARE__NONE	CORE_FACTORIAL__UP_DOWN__AA__THEY_SAID__NONE	gravel and window	they said gravel and window	0	3	4	1	1	-0.119647	-0.127246	-0.119647	0.462257	1888	2256	0	0	0	1	1
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__BARE__NONE__TO__V9_SPACE	CARRIER_VS_BARE	ENDPOINT_CONTROL	UP_DOWN	V9_SPACE	BARE	V9_SPACE	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__V9_SPACE__NONE	up and down	 up and down	0	2	2	1	1	0.06282	0.035224	0.06282	0.034137	541	541	1	1	0	1	1
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__BARE__NONE__TO__THE_PHRASE	CARRIER_VS_BARE	ENDPOINT_CONTROL	UP_DOWN	THE_PHRASE	BARE	THE_PHRASE	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THE_PHRASE__NONE	up and down	the phrase up and down	0	2	4	1	1	0.282657	0.253712	0.282657	-0.030185	541	541	1	1	0	1	1
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__BARE__NONE__TO__THEY_SAID	CARRIER_VS_BARE	ENDPOINT_CONTROL	UP_DOWN	THEY_SAID	BARE	THEY_SAID	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__THEY_SAID__NONE	up and down	they said up and down	0	2	4	1	1	0.161683	0.139601	0.161683	0.172765	541	541	1	1	0	1	1
ENDPOINT_CONTROL__UP_DOWN__SECOND_ONLY__BARE__NONE__TO__V9_SPACE	CARRIER_VS_BARE	ENDPOINT_CONTROL	UP_DOWN	V9_SPACE	BARE	V9_SPACE	ENDPOINT_CONTROL__UP_DOWN__SECOND_ONLY__BARE__NONE	ENDPOINT_CONTROL__UP_DOWN__SECOND_ONLY__V9_SPACE__NONE	down	 down	0	0	0	1	1	-0.002617	-0.002617	0.0	-0.09772	1790	1790	0	0	0	0	1
ENDPOINT_CONTROL__UP_DOWN__SECOND_ONLY__BARE__NONE__TO__THE_PHRASE	CARRIER_VS_BARE	ENDPOINT_CONTROL	UP_DOWN	THE_PHRASE	BARE	THE_PHRASE	ENDPOINT_CONTROL__UP_DOWN__SECOND_ONLY__BARE__NONE	ENDPOINT_CONTROL__UP_DOWN__SECOND_ONLY__THE_PHRASE__NONE	down	the phrase down	0	0	2	1	1	0.084455	0.139937	0.0	-0.645089	1790	2073	0	0	0	0	1
ENDPOINT_CONTROL__UP_DOWN__SECOND_ONLY__BARE__NONE__TO__THEY_SAID	CARRIER_VS_BARE	ENDPOINT_CONTROL	UP_DOWN	THEY_SAID	BARE	THEY_SAID	ENDPOINT_CONTROL__UP_DOWN__SECOND_ONLY__BARE__NONE	ENDPOINT_CONTROL__UP_DOWN__SECOND_ONLY__THEY_SAID__NONE	down	they said down	0	0	2	1	1	0.04013	0.078407	0.0	0.227189	1790	2256	0	0	0	0	1
ENDPOINT_CONTROL__UP_DOWN__CONNECTOR_SECOND__BARE__NONE__TO__V9_SPACE	CARRIER_VS_BARE	ENDPOINT_CONTROL	UP_DOWN	V9_SPACE	BARE	V9_SPACE	ENDPOINT_CONTROL__UP_DOWN__CONNECTOR_SECOND__BARE__NONE	ENDPOINT_CONTROL__UP_DOWN__CONNECTOR_SECOND__V9_SPACE__NONE	and down	 and down	0	1	1	1	1	0.072378	0.078503	0.072378	-0.386866	1790	1790	0	0	0	1	1
ENDPOINT_CONTROL__UP_DOWN__CONNECTOR_SECOND__BARE__NONE__TO__THE_PHRASE	CARRIER_VS_BARE	ENDPOINT_CONTROL	UP_DOWN	THE_PHRASE	BARE	THE_PHRASE	ENDPOINT_CONTROL__UP_DOWN__CONNECTOR_SECOND__BARE__NONE	ENDPOINT_CONTROL__UP_DOWN__CONNECTOR_SECOND__THE_PHRASE__NONE	and down	the phrase and down	0	1	3	1	1	-0.236094	-0.253579	-0.088801	-0.836566	1790	2073	0	0	0	1	1
ENDPOINT_CONTROL__UP_DOWN__CONNECTOR_SECOND__BARE__NONE__TO__THEY_SAID	CARRIER_VS_BARE	ENDPOINT_CONTROL	UP_DOWN	THEY_SAID	BARE	THEY_SAID	ENDPOINT_CONTROL__UP_DOWN__CONNECTOR_SECOND__BARE__NONE	ENDPOINT_CONTROL__UP_DOWN__CONNECTOR_SECOND__THEY_SAID__NONE	and down	they said and down	0	1	3	1	1	-0.1213	-0.122515	-0.088801	-0.195742	1790	1953	0	0	0	1	1
ENDPOINT_CONTROL__UP_DOWN__FIRST_SECOND__BARE__NONE__TO__V9_SPACE	CARRIER_VS_BARE	ENDPOINT_CONTROL	UP_DOWN	V9_SPACE	BARE	V9_SPACE	ENDPOINT_CONTROL__UP_DOWN__FIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL__UP_DOWN__FIRST_SECOND__V9_SPACE__NONE	up down	 up down	0	1	1	1	1	0.246383	0.270473	0.246383	0.071323	1790	1790	0	0	0	1	1
ENDPOINT_CONTROL__UP_DOWN__FIRST_SECOND__BARE__NONE__TO__THE_PHRASE	CARRIER_VS_BARE	ENDPOINT_CONTROL	UP_DOWN	THE_PHRASE	BARE	THE_PHRASE	ENDPOINT_CONTROL__UP_DOWN__FIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL__UP_DOWN__FIRST_SECOND__THE_PHRASE__NONE	up down	the phrase up down	0	1	3	1	1	0.088738	0.01012	0.088738	-0.291356	1790	2073	0	0	0	1	1
ENDPOINT_CONTROL__UP_DOWN__FIRST_SECOND__BARE__NONE__TO__THEY_SAID	CARRIER_VS_BARE	ENDPOINT_CONTROL	UP_DOWN	THEY_SAID	BARE	THEY_SAID	ENDPOINT_CONTROL__UP_DOWN__FIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL__UP_DOWN__FIRST_SECOND__THEY_SAID__NONE	up down	they said up down	0	1	3	1	1	0.306171	0.302177	0.306171	0.798355	1790	2256	0	0	0	1	1
ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__BARE__NONE__TO__V9_SPACE	CARRIER_VS_BARE	ENDPOINT_CONTROL	UP_DOWN	V9_SPACE	BARE	V9_SPACE	ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__V9_SPACE__NONE	gravel down	 gravel down	0	2	1	1	1	0.014035	0.081073	0.0	-0.439581	1888	1888	0	0	0	1	1
ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__BARE__NONE__TO__THE_PHRASE	CARRIER_VS_BARE	ENDPOINT_CONTROL	UP_DOWN	THE_PHRASE	BARE	THE_PHRASE	ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__THE_PHRASE__NONE	gravel down	the phrase gravel down	0	2	3	1	1	0.022645	-0.018077	0.0	-0.290375	1888	2073	0	0	0	1	1
ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__BARE__NONE__TO__THEY_SAID	CARRIER_VS_BARE	ENDPOINT_CONTROL	UP_DOWN	THEY_SAID	BARE	THEY_SAID	ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__THEY_SAID__NONE	gravel down	they said gravel down	0	2	3	1	1	0.059818	0.026432	0.0	0.581903	1888	2256	0	0	0	1	1
ENDPOINT_CONTROL__UP_DOWN__FIRST_REPEAT__BARE__NONE__TO__V9_SPACE	CARRIER_VS_BARE	ENDPOINT_CONTROL	UP_DOWN	V9_SPACE	BARE	V9_SPACE	ENDPOINT_CONTROL__UP_DOWN__FIRST_REPEAT__BARE__NONE	ENDPOINT_CONTROL__UP_DOWN__FIRST_REPEAT__V9_SPACE__NONE	up up	 up up	0	1	1	1	1	0.02008	0.04417	0.0	-0.17506	1790	1790	0	0	0	1	1
ENDPOINT_CONTROL__UP_DOWN__FIRST_REPEAT__BARE__NONE__TO__THE_PHRASE	CARRIER_VS_BARE	ENDPOINT_CONTROL	UP_DOWN	THE_PHRASE	BARE	THE_PHRASE	ENDPOINT_CONTROL__UP_DOWN__FIRST_REPEAT__BARE__NONE	ENDPOINT_CONTROL__UP_DOWN__FIRST_REPEAT__THE_PHRASE__NONE	up up	the phrase up up	0	1	3	1	1	0.060914	-0.017705	0.0	-0.380094	1790	2073	0	0	0	1	1
ENDPOINT_CONTROL__UP_DOWN__FIRST_REPEAT__BARE__NONE__TO__THEY_SAID	CARRIER_VS_BARE	ENDPOINT_CONTROL	UP_DOWN	THEY_SAID	BARE	THEY_SAID	ENDPOINT_CONTROL__UP_DOWN__FIRST_REPEAT__BARE__NONE	ENDPOINT_CONTROL__UP_DOWN__FIRST_REPEAT__THEY_SAID__NONE	up up	they said up up	0	1	3	1	1	-0.024163	-0.028158	0.0	0.358495	1790	1790	0	0	0	1	1
ENDPOINT_CONTROL__UP_DOWN__REVERSED__BARE__NONE__TO__V9_SPACE	CARRIER_VS_BARE	ENDPOINT_CONTROL	UP_DOWN	V9_SPACE	BARE	V9_SPACE	ENDPOINT_CONTROL__UP_DOWN__REVERSED__BARE__NONE	ENDPOINT_CONTROL__UP_DOWN__REVERSED__V9_SPACE__NONE	down and up	 down and up	0	2	2	1	1	-0.232239	-0.251636	-0.232239	0.015461	541	541	1	1	0	1	1
ENDPOINT_CONTROL__UP_DOWN__REVERSED__BARE__NONE__TO__THE_PHRASE	CARRIER_VS_BARE	ENDPOINT_CONTROL	UP_DOWN	THE_PHRASE	BARE	THE_PHRASE	ENDPOINT_CONTROL__UP_DOWN__REVERSED__BARE__NONE	ENDPOINT_CONTROL__UP_DOWN__REVERSED__THE_PHRASE__NONE	down and up	the phrase down and up	0	2	4	1	1	-0.007732	-0.011388	-0.007732	-0.364717	541	541	1	1	0	1	1
ENDPOINT_CONTROL__UP_DOWN__REVERSED__BARE__NONE__TO__THEY_SAID	CARRIER_VS_BARE	ENDPOINT_CONTROL	UP_DOWN	THEY_SAID	BARE	THEY_SAID	ENDPOINT_CONTROL__UP_DOWN__REVERSED__BARE__NONE	ENDPOINT_CONTROL__UP_DOWN__REVERSED__THEY_SAID__NONE	down and up	they said down and up	0	2	4	1	1	0.36347	0.376876	0.36347	-0.400966	541	541	1	1	0	1	1
CORE_FACTORIAL__NOW_THEN__CC__BARE__NONE__TO__V9_SPACE	CARRIER_VS_BARE	CORE_FACTORIAL	NOW_THEN	V9_SPACE	BARE	V9_SPACE	CORE_FACTORIAL__NOW_THEN__CC__BARE__NONE	CORE_FACTORIAL__NOW_THEN__CC__V9_SPACE__NONE	now and then	 now and then	0	2	2	1	1	0.40683	0.400092	0.40683	-0.056894	541	541	1	1	0	1	1
CORE_FACTORIAL__NOW_THEN__CC__BARE__NONE__TO__THE_PHRASE	CARRIER_VS_BARE	CORE_FACTORIAL	NOW_THEN	THE_PHRASE	BARE	THE_PHRASE	CORE_FACTORIAL__NOW_THEN__CC__BARE__NONE	CORE_FACTORIAL__NOW_THEN__CC__THE_PHRASE__NONE	now and then	the phrase now and then	0	2	4	1	1	0.848525	0.847788	0.848525	0.311668	541	541	1	1	0	1	1
CORE_FACTORIAL__NOW_THEN__CC__BARE__NONE__TO__THEY_SAID	CARRIER_VS_BARE	CORE_FACTORIAL	NOW_THEN	THEY_SAID	BARE	THEY_SAID	CORE_FACTORIAL__NOW_THEN__CC__BARE__NONE	CORE_FACTORIAL__NOW_THEN__CC__THEY_SAID__NONE	now and then	they said now and then	0	2	4	1	1	0.471625	0.479092	0.471625	0.643862	541	541	1	1	0	1	1
CORE_FACTORIAL__NOW_THEN__CA__BARE__NONE__TO__V9_SPACE	CARRIER_VS_BARE	CORE_FACTORIAL	NOW_THEN	V9_SPACE	BARE	V9_SPACE	CORE_FACTORIAL__NOW_THEN__CA__BARE__NONE	CORE_FACTORIAL__NOW_THEN__CA__V9_SPACE__NONE	now and ocean	 now and ocean	0	2	2	1	1	-0.545632	-0.55237	-0.445167	-0.808791	1888	1888	0	0	0	1	1
CORE_FACTORIAL__NOW_THEN__CA__BARE__NONE__TO__THE_PHRASE	CARRIER_VS_BARE	CORE_FACTORIAL	NOW_THEN	THE_PHRASE	BARE	THE_PHRASE	CORE_FACTORIAL__NOW_THEN__CA__BARE__NONE	CORE_FACTORIAL__NOW_THEN__CA__THE_PHRASE__NONE	now and ocean	the phrase now and ocean	0	2	4	1	1	-0.541242	-0.541979	-0.445167	-0.881924	1888	2073	0	0	0	1	1
CORE_FACTORIAL__NOW_THEN__CA__BARE__NONE__TO__THEY_SAID	CARRIER_VS_BARE	CORE_FACTORIAL	NOW_THEN	THEY_SAID	BARE	THEY_SAID	CORE_FACTORIAL__NOW_THEN__CA__BARE__NONE	CORE_FACTORIAL__NOW_THEN__CA__THEY_SAID__NONE	now and ocean	they said now and ocean	0	2	4	1	1	-0.614957	-0.607491	-0.445167	-0.33704	1888	1888	0	0	0	1	1
CORE_FACTORIAL__NOW_THEN__AC__BARE__NONE__TO__V9_SPACE	CARRIER_VS_BARE	CORE_FACTORIAL	NOW_THEN	V9_SPACE	BARE	V9_SPACE	CORE_FACTORIAL__NOW_THEN__AC__BARE__NONE	CORE_FACTORIAL__NOW_THEN__AC__V9_SPACE__NONE	velvet and then	 velvet and then	0	3	2	1	1	0.006601	-0.0096	0.0	-0.830844	1790	1888	0	0	0	1	1
CORE_FACTORIAL__NOW_THEN__AC__BARE__NONE__TO__THE_PHRASE	CARRIER_VS_BARE	CORE_FACTORIAL	NOW_THEN	THE_PHRASE	BARE	THE_PHRASE	CORE_FACTORIAL__NOW_THEN__AC__BARE__NONE	CORE_FACTORIAL__NOW_THEN__AC__THE_PHRASE__NONE	velvet and then	the phrase velvet and then	0	3	4	1	1	-0.003053	-0.031282	0.0	-0.749508	1790	2073	0	0	0	1	1
CORE_FACTORIAL__NOW_THEN__AC__BARE__NONE__TO__THEY_SAID	CARRIER_VS_BARE	CORE_FACTORIAL	NOW_THEN	THEY_SAID	BARE	THEY_SAID	CORE_FACTORIAL__NOW_THEN__AC__BARE__NONE	CORE_FACTORIAL__NOW_THEN__AC__THEY_SAID__NONE	velvet and then	they said velvet and then	0	3	4	1	1	0.031124	0.006729	0.0	0.12277	1790	2256	0	0	0	1	1
CORE_FACTORIAL__NOW_THEN__AA__BARE__NONE__TO__V9_SPACE	CARRIER_VS_BARE	CORE_FACTORIAL	NOW_THEN	V9_SPACE	BARE	V9_SPACE	CORE_FACTORIAL__NOW_THEN__AA__BARE__NONE	CORE_FACTORIAL__NOW_THEN__AA__V9_SPACE__NONE	velvet and ocean	 velvet and ocean	0	3	2	1	1	-0.064163	-0.080364	-0.064163	-0.895007	1790	1888	0	0	0	1	1
CORE_FACTORIAL__NOW_THEN__AA__BARE__NONE__TO__THE_PHRASE	CARRIER_VS_BARE	CORE_FACTORIAL	NOW_THEN	THE_PHRASE	BARE	THE_PHRASE	CORE_FACTORIAL__NOW_THEN__AA__BARE__NONE	CORE_FACTORIAL__NOW_THEN__AA__THE_PHRASE__NONE	velvet and ocean	the phrase velvet and ocean	0	3	4	1	1	-0.3121	-0.340329	-0.3121	-1.061609	1790	2073	0	0	0	1	1
CORE_FACTORIAL__NOW_THEN__AA__BARE__NONE__TO__THEY_SAID	CARRIER_VS_BARE	CORE_FACTORIAL	NOW_THEN	THEY_SAID	BARE	THEY_SAID	CORE_FACTORIAL__NOW_THEN__AA__BARE__NONE	CORE_FACTORIAL__NOW_THEN__AA__THEY_SAID__NONE	velvet and ocean	they said velvet and ocean	0	3	4	1	1	-0.163713	-0.188108	-0.163713	-0.040943	1790	2256	0	0	0	1	1
ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__BARE__NONE__TO__V9_SPACE	CARRIER_VS_BARE	ENDPOINT_CONTROL	NOW_THEN	V9_SPACE	BARE	V9_SPACE	ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__V9_SPACE__NONE	now and then	 now and then	0	2	2	1	1	0.40683	0.400092	0.40683	-0.056894	541	541	1	1	0	1	1
ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__BARE__NONE__TO__THE_PHRASE	CARRIER_VS_BARE	ENDPOINT_CONTROL	NOW_THEN	THE_PHRASE	BARE	THE_PHRASE	ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__THE_PHRASE__NONE	now and then	the phrase now and then	0	2	4	1	1	0.848525	0.847788	0.848525	0.311668	541	541	1	1	0	1	1
ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__BARE__NONE__TO__THEY_SAID	CARRIER_VS_BARE	ENDPOINT_CONTROL	NOW_THEN	THEY_SAID	BARE	THEY_SAID	ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL__NOW_THEN__FULL_FRAME__THEY_SAID__NONE	now and then	they said now and then	0	2	4	1	1	0.471625	0.479092	0.471625	0.643862	541	541	1	1	0	1	1
ENDPOINT_CONTROL__NOW_THEN__SECOND_ONLY__BARE__NONE__TO__V9_SPACE	CARRIER_VS_BARE	ENDPOINT_CONTROL	NOW_THEN	V9_SPACE	BARE	V9_SPACE	ENDPOINT_CONTROL__NOW_THEN__SECOND_ONLY__BARE__NONE	ENDPOINT_CONTROL__NOW_THEN__SECOND_ONLY__V9_SPACE__NONE	then	 then	0	0	0	1	1	-0.017599	-0.017599	0.0	-1.297915	1790	464	0	0	0	0	1
ENDPOINT_CONTROL__NOW_THEN__SECOND_ONLY__BARE__NONE__TO__THE_PHRASE	CARRIER_VS_BARE	ENDPOINT_CONTROL	NOW_THEN	THE_PHRASE	BARE	THE_PHRASE	ENDPOINT_CONTROL__NOW_THEN__SECOND_ONLY__BARE__NONE	ENDPOINT_CONTROL__NOW_THEN__SECOND_ONLY__THE_PHRASE__NONE	then	the phrase then	0	0	2	1	1	-0.029375	0.026107	0.0	-0.857607	1790	2073	0	0	0	0	1
ENDPOINT_CONTROL__NOW_THEN__SECOND_ONLY__BARE__NONE__TO__THEY_SAID	CARRIER_VS_BARE	ENDPOINT_CONTROL	NOW_THEN	THEY_SAID	BARE	THEY_SAID	ENDPOINT_CONTROL__NOW_THEN__SECOND_ONLY__BARE__NONE	ENDPOINT_CONTROL__NOW_THEN__SECOND_ONLY__THEY_SAID__NONE	then	they said then	0	0	2	1	1	-0.055465	-0.017187	0.0	0.014671	1790	2256	0	0	0	0	1
ENDPOINT_CONTROL__NOW_THEN__CONNECTOR_SECOND__BARE__NONE__TO__V9_SPACE	CARRIER_VS_BARE	ENDPOINT_CONTROL	NOW_THEN	V9_SPACE	BARE	V9_SPACE	ENDPOINT_CONTROL__NOW_THEN__CONNECTOR_SECOND__BARE__NONE	ENDPOINT_CONTROL__NOW_THEN__CONNECTOR_SECOND__V9_SPACE__NONE	and then	 and then	0	1	1	1	1	0.013796	0.019921	0.0	-0.459244	1790	1790	0	0	0	1	1
ENDPOINT_CONTROL__NOW_THEN__CONNECTOR_SECOND__BARE__NONE__TO__THE_PHRASE	CARRIER_VS_BARE	ENDPOINT_CONTROL	NOW_THEN	THE_PHRASE	BARE	THE_PHRASE	ENDPOINT_CONTROL__NOW_THEN__CONNECTOR_SECOND__BARE__NONE	ENDPOINT_CONTROL__NOW_THEN__CONNECTOR_SECOND__THE_PHRASE__NONE	and then	the phrase and then	0	1	3	1	1	0.086396	0.068911	0.0	-0.747765	1790	2073	0	0	0	1	1
ENDPOINT_CONTROL__NOW_THEN__CONNECTOR_SECOND__BARE__NONE__TO__THEY_SAID	CARRIER_VS_BARE	ENDPOINT_CONTROL	NOW_THEN	THEY_SAID	BARE	THEY_SAID	ENDPOINT_CONTROL__NOW_THEN__CONNECTOR_SECOND__BARE__NONE	ENDPOINT_CONTROL__NOW_THEN__CONNECTOR_SECOND__THEY_SAID__NONE	and then	they said and then	0	1	3	1	1	-0.009779	-0.010995	0.0	-0.106941	1790	1953	0	0	0	1	1
ENDPOINT_CONTROL__NOW_THEN__FIRST_SECOND__BARE__NONE__TO__V9_SPACE	CARRIER_VS_BARE	ENDPOINT_CONTROL	NOW_THEN	V9_SPACE	BARE	V9_SPACE	ENDPOINT_CONTROL__NOW_THEN__FIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL__NOW_THEN__FIRST_SECOND__V9_SPACE__NONE	now then	 now then	0	1	1	1	1	0.234136	0.191256	0.234136	-0.229588	1888	1888	0	0	0	1	1
ENDPOINT_CONTROL__NOW_THEN__FIRST_SECOND__BARE__NONE__TO__THE_PHRASE	CARRIER_VS_BARE	ENDPOINT_CONTROL	NOW_THEN	THE_PHRASE	BARE	THE_PHRASE	ENDPOINT_CONTROL__NOW_THEN__FIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL__NOW_THEN__FIRST_SECOND__THE_PHRASE__NONE	now then	the phrase now then	0	1	3	1	1	-0.262855	-0.374489	-0.262855	-0.799712	1888	2073	0	0	0	1	1
ENDPOINT_CONTROL__NOW_THEN__FIRST_SECOND__BARE__NONE__TO__THEY_SAID	CARRIER_VS_BARE	ENDPOINT_CONTROL	NOW_THEN	THEY_SAID	BARE	THEY_SAID	ENDPOINT_CONTROL__NOW_THEN__FIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL__NOW_THEN__FIRST_SECOND__THEY_SAID__NONE	now then	they said now then	0	1	3	1	1	-0.462814	-0.479423	-0.429761	-0.09434	1888	2256	0	0	0	1	1
ENDPOINT_CONTROL__NOW_THEN__ARBFIRST_SECOND__BARE__NONE__TO__V9_SPACE	CARRIER_VS_BARE	ENDPOINT_CONTROL	NOW_THEN	V9_SPACE	BARE	V9_SPACE	ENDPOINT_CONTROL__NOW_THEN__ARBFIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL__NOW_THEN__ARBFIRST_SECOND__V9_SPACE__NONE	velvet then	 velvet then	0	2	1	1	1	0.028677	0.06506	0.0	-0.830844	1790	1888	0	0	0	1	1
ENDPOINT_CONTROL__NOW_THEN__ARBFIRST_SECOND__BARE__NONE__TO__THE_PHRASE	CARRIER_VS_BARE	ENDPOINT_CONTROL	NOW_THEN	THE_PHRASE	BARE	THE_PHRASE	ENDPOINT_CONTROL__NOW_THEN__ARBFIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL__NOW_THEN__ARBFIRST_SECOND__THE_PHRASE__NONE	velvet then	the phrase velvet then	0	2	3	1	1	0.028512	-0.031165	0.0	-0.749508	1790	2073	0	0	0	1	1
ENDPOINT_CONTROL__NOW_THEN__ARBFIRST_SECOND__BARE__NONE__TO__THEY_SAID	CARRIER_VS_BARE	ENDPOINT_CONTROL	NOW_THEN	THEY_SAID	BARE	THEY_SAID	ENDPOINT_CONTROL__NOW_THEN__ARBFIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL__NOW_THEN__ARBFIRST_SECOND__THEY_SAID__NONE	velvet then	they said velvet then	0	2	3	1	1	0.096383	0.072484	0.0	0.12277	1790	2256	0	0	0	1	1
ENDPOINT_CONTROL__NOW_THEN__FIRST_REPEAT__BARE__NONE__TO__V9_SPACE	CARRIER_VS_BARE	ENDPOINT_CONTROL	NOW_THEN	V9_SPACE	BARE	V9_SPACE	ENDPOINT_CONTROL__NOW_THEN__FIRST_REPEAT__BARE__NONE	ENDPOINT_CONTROL__NOW_THEN__FIRST_REPEAT__V9_SPACE__NONE	now now	 now now	0	1	1	1	1	-0.043745	-0.086625	0.0	-0.463724	1888	1888	0	0	0	1	1
ENDPOINT_CONTROL__NOW_THEN__FIRST_REPEAT__BARE__NONE__TO__THE_PHRASE	CARRIER_VS_BARE	ENDPOINT_CONTROL	NOW_THEN	THE_PHRASE	BARE	THE_PHRASE	ENDPOINT_CONTROL__NOW_THEN__FIRST_REPEAT__BARE__NONE	ENDPOINT_CONTROL__NOW_THEN__FIRST_REPEAT__THE_PHRASE__NONE	now now	the phrase now now	0	1	3	1	1	0.00273	-0.108904	0.0	-0.536857	1888	2073	0	0	0	1	1
ENDPOINT_CONTROL__NOW_THEN__FIRST_REPEAT__BARE__NONE__TO__THEY_SAID	CARRIER_VS_BARE	ENDPOINT_CONTROL	NOW_THEN	THEY_SAID	BARE	THEY_SAID	ENDPOINT_CONTROL__NOW_THEN__FIRST_REPEAT__BARE__NONE	ENDPOINT_CONTROL__NOW_THEN__FIRST_REPEAT__THEY_SAID__NONE	now now	they said now now	0	1	3	1	1	-0.062633	-0.079242	0.0	0.335421	1888	2256	0	0	0	1	1
ENDPOINT_CONTROL__NOW_THEN__REVERSED__BARE__NONE__TO__V9_SPACE	CARRIER_VS_BARE	ENDPOINT_CONTROL	NOW_THEN	V9_SPACE	BARE	V9_SPACE	ENDPOINT_CONTROL__NOW_THEN__REVERSED__BARE__NONE	ENDPOINT_CONTROL__NOW_THEN__REVERSED__V9_SPACE__NONE	then and now	 then and now	0	2	2	1	1	0.001264	0.00693	0.001264	-1.29665	541	541	1	1	0	1	1
ENDPOINT_CONTROL__NOW_THEN__REVERSED__BARE__NONE__TO__THE_PHRASE	CARRIER_VS_BARE	ENDPOINT_CONTROL	NOW_THEN	THE_PHRASE	BARE	THE_PHRASE	ENDPOINT_CONTROL__NOW_THEN__REVERSED__BARE__NONE	ENDPOINT_CONTROL__NOW_THEN__REVERSED__THE_PHRASE__NONE	then and now	the phrase then and now	0	2	4	1	1	0.456659	0.473659	0.456659	-0.400948	541	541	1	1	0	1	1
ENDPOINT_CONTROL__NOW_THEN__REVERSED__BARE__NONE__TO__THEY_SAID	CARRIER_VS_BARE	ENDPOINT_CONTROL	NOW_THEN	THEY_SAID	BARE	THEY_SAID	ENDPOINT_CONTROL__NOW_THEN__REVERSED__BARE__NONE	ENDPOINT_CONTROL__NOW_THEN__REVERSED__THEY_SAID__NONE	then and now	they said then and now	0	2	4	1	1	0.805655	0.803286	0.805655	-0.707304	541	541	1	1	0	1	1
